State,Regular,Mid-Grade,Premium,Diesel
Alabama,3.2,3.528,3.853,3.469
Alaska,3.712,3.878,4.073,3.542
Arizona,3.635,3.904,4.154,3.876
Arkansas,3.066,3.362,3.656,3.417
California,4.63,4.813,4.939,4.78
Colorado,3.503,3.83,4.117,3.487
Connecticut,3.541,3.832,4.05,3.701
Delaware,3.353,3.723,3.95,3.596
District of Columbia,3.62,4.095,4.215,3.712
Florida,3.276,3.629,3.937,3.573
Georgia,3.249,3.587,3.92,3.531
Hawaii,4.346,4.541,4.804,4.667
Idaho,3.691,3.884,4.066,3.981
Illinois,3.592,3.949,4.334,3.644
Indiana,3.389,3.714,4.035,3.699
Iowa,3.197,3.331,3.742,3.467
Kansas,3.115,3.366,3.612,3.394
Kentucky,3.11,3.444,3.75,3.415
Louisiana,3.16,3.467,3.78,3.333
Maine,3.425,3.709,3.979,3.575
Maryland,3.376,3.79,4.025,3.611
Massachusetts,3.404,3.682,3.896,3.567
Michigan,3.42,3.752,4.075,3.547
Minnesota,3.184,3.409,3.733,3.511
Mississippi,3.093,3.395,3.71,3.33
Missouri,3.111,3.363,3.635,3.356
Montana,3.409,3.671,3.916,3.7
Nebraska,3.22,3.322,3.676,3.455
Nevada,3.958,4.181,4.358,3.964
New Hampshire,3.366,3.663,3.933,3.517
New Jersey,3.452,3.805,3.98,3.701
New Mexico,3.373,3.668,3.931,3.627
New York,3.559,3.851,4.083,3.753
North Carolina,3.237,3.585,3.93,3.526
North Dakota,3.21,3.42,3.649,3.547
Ohio,3.288,3.609,3.934,3.683
Oklahoma,3.032,3.296,3.522,3.298
Oregon,3.774,3.957,4.147,3.788
Pennsylvania,3.59,3.904,4.185,3.978
Rhode Island,3.416,3.743,3.979,3.594
South Carolina,3.156,3.506,3.83,3.448
South Dakota,3.322,3.404,3.766,3.524
Tennessee,3.146,3.479,3.808,3.456
Texas,3.073,3.4,3.691,3.32
Utah,3.719,3.92,4.105,4.001
Vermont,3.431,3.684,3.941,3.61
Virginia,3.286,3.658,3.975,3.552
Washington,3.871,4.096,4.261,3.86
West Virginia,3.338,3.617,3.911,3.675
Wisconsin,3.141,3.478,3.861,3.454
Wyoming,3.506,3.723,3.955,3.772
